split,policy,pool_idx,n_samples,reward_mean,reward_max,reward_p50,reward_p90,reward_p95,positive_rate,high_reward_rate,near_miss_rate,collision_rate,init_invalid_rate,goal_offlane_rate,controlled_parking_rate,small_vehicle_rate,ego_adv_min_dist_mean,ego_adv_min_dist_min,r_approach_mean,r_ttc_mean,constraint_mean,adv_length_mean,adv_width_mean
val,conditioning_real_adv,12320,1,0.2503032684326172,0.2503032684326172,0.2503032684326172,0.2503032684326172,0.2503032684326172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6836295127868652,3.6836295127868652,0.2503032386302948,0.0,0.0,4.739913463592529,2.0941786766052246
val,conditioning_real_adv,12354,1,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.395511627197266,33.395511627197266,3.5400404829744048e-09,0.0,0.5,4.91744327545166,2.1748321056365967
val,conditioning_real_adv,12411,1,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.867450714111328,30.867450714111328,9.352559970920993e-08,0.0,0.5,5.029487609863281,2.2848544120788574
val,conditioning_real_adv,12476,1,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.619544982910156,30.619544982910156,4.712870804723934e-08,0.0,0.0,4.8071441650390625,2.129422426223755
val,conditioning_real_adv,12521,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,43.652992248535156,43.652992248535156,1.4273067450165655e-10,0.0,1.5,4.4195990562438965,2.0287606716156006
val,conditioning_real_adv,12603,1,6.711483001708984e-05,6.711483001708984e-05,6.711483001708984e-05,6.711483001708984e-05,6.711483001708984e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.212085723876953,25.212085723876953,6.709100125590339e-05,0.0,0.0,4.556435585021973,2.055622100830078
val,conditioning_real_adv,12752,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.65518569946289,29.65518569946289,2.247073460637239e-08,0.0,1.5,5.278833389282227,2.3536622524261475
val,conditioning_real_adv,13064,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28.25421905517578,28.25421905517578,2.7374175814998125e-08,0.0,1.5,4.281163692474365,1.9726685285568237
val,conditioning_real_adv,13317,1,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,-0.49999988079071045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.194183349609375,25.194183349609375,1.2912859403968469e-07,0.0,0.5,4.2950215339660645,1.9739758968353271
val,conditioning_real_adv,13330,1,0.001431286334991455,0.001431286334991455,0.001431286334991455,0.001431286334991455,0.001431286334991455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72057342529297,16.72057342529297,0.0014312785351648927,0.0,0.0,0.8661219477653503,0.8437334895133972
