spike_rank,iter,kl,sample,group,pool_slot,dataset_id,initial_pool_dataset_id,log_path
1,399,0.0475,46,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,47,5,24342,345481,345480,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,48,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,49,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,50,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,51,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,52,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,53,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,54,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,55,6,32298,374023,374022,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,56,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,57,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,58,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,59,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,60,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,61,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,62,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
1,399,0.0475,63,7,5133,74036,74036,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,0,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,1,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,2,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,3,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,4,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,5,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,6,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,7,0,25844,58999,58999,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,8,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,9,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,10,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,11,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
2,281,0.0434,12,1,17515,271562,271562,wandb/run-20260630_155831-2gcw0mpa/files/output.log
